<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;D;210408;000000;128.95;130.39;128.52;130.37;4039123
AAPL;D;210409;000000;129.87;133;129.47;132.99;5028400
AAPL;D;210412;000000;132.53;132.85;130.64;131.27;3659762
AAPL;D;210413;000000;132.44;134.66;131.93;134.4;4112581
AAPL;D;210414;000000;134.96;135;131.66;132.14;3860187
AAPL;D;210415;000000;133.82;134.99;133.66;134.5;4186590
AAPL;D;210416;000000;134.38;134.65;133.28;134.12;3218935
AAPL;D;210419;000000;133.49;135.47;133.34;134.86;4171085
AAPL;D;210420;000000;135.03;135.53;131.82;133.12;4519360
AAPL;D;210421;000000;132.37;133.74;131.31;133.49;3121784
AAPL;D;210422;000000;133;134.15;131.42;131.96;4053263
AAPL;D;210423;000000;132.16;135.12;132.16;134.3;3829022
AAPL;D;210426;000000;134.8;135.05;133.57;134.75;2623209
AAPL;D;210427;000000;135.11;135.37;134.11;134.39;3002493
AAPL;D;210428;000000;134.29;135.01;133.09;133.78;4098998
AAPL;D;210429;000000;136.45;137.07;132.47;133.48;6328998
AAPL;D;210430;000000;131.81;133.56;131.08;131.51;4825291
AAPL;D;210503;000000;132.03;134.06;131.83;132.55;3766410
AAPL;D;210504;000000;131.19;131.48;126.7;127.94;6717098
AAPL;D;210505;000000;129.23;130.44;127.97;128.15;4182653
AAPL;D;210506;000000;127.88;129.74;127.14;129.73;4384111
AAPL;D;210507;000000;130.85;131.25;129.48;130.2;4482840
AAPL;D;210510;000000;129.41;129.52;126.81;126.86;4746816
AAPL;D;210511;000000;123.5;126.27;122.78;125.85;6041601
AAPL;D;210512;000000;123.55;124.64;122.26;122.82;6102106
AAPL;D;210513;000000;124.66;126.14;124.27;124.94;4755911
AAPL;D;210514;000000;126.25;127.88;125.85;127.43;4251744
AAPL;D;210517;000000;126.85;126.92;125.17;126.25;3450603
AAPL;D;210518;000000;126.53;126.98;124.78;124.86;3176784
AAPL;D;210519;000000;123.16;124.9;122.87;124.69;4724087
AAPL;D;210520;000000;125.23;127.71;125.1;127.31;3786141
AAPL;D;210521;000000;127.83;128;125.22;125.43;4012263
AAPL;D;210524;000000;126.01;127.93;125.94;127.11;3004947
AAPL;D;210525;000000;127.74;128.32;126.325;126.92;2674950
AAPL;D;210526;000000;126.93;127.38;126.43;126.86;2420373
AAPL;D;210527;000000;126.47;127.63;125.28;125.33;3796761
AAPL;D;210528;000000;125.57;125.78;124.55;124.71;3452808
AAPL;D;210601;000000;125.08;125.35;123.94;124.3;2708254
AAPL;D;210602;000000;124.29;125.23;124.05;125.09;2569184
AAPL;D;210603;000000;124.63;124.85;123.14;123.55;3187672
AAPL;D;210604;000000;124.07;126.15;123.86;125.86;3235599
AAPL;D;210607;000000;126.18;126.31;124.84;125.94;3106377
AAPL;D;210608;000000;126.65;128.45;126.24;126.75;3274670
AAPL;D;210609;000000;127.21;127.74;126.53;127.17;2647751
AAPL;D;210610;000000;127.03;128.19;125.94;126.1;3889176
AAPL;D;210611;000000;126.51;127.44;126.1;127.36;2888857
AAPL;D;210614;000000;127.82;130.49;127.07;130.49;4146657
AAPL;D;210615;000000;129.94;130.595;129.39;129.75;3056746
AAPL;D;210616;000000;130.37;130.89;128.47;130.14;4673866
AAPL;D;210617;000000;129.8;132.54;129.65;131.79;5372339
AAPL;D;210618;000000;130.71;131.5;130.25;130.4;4894397
AAPL;D;210621;000000;130.36;132.4;129.22;132.29;3873925
AAPL;D;210622;000000;132.12;134.08;131.63;133.97;3674772
AAPL;D;210623;000000;133.78;134.31;133.235;133.69;2580990
AAPL;D;210624;000000;134.45;134.63;132.93;133.4;3418597
